"airportIATACode";"airportName";"airportICAOCode"
"AAA";"aaaaa";"NTGA"
"AAB";"Arrabury";"YARY"
"AAC";"El Arish International Airport";"HEAR"
"AAE";"Les Salines";"DABB"
"AAF";"Apalachicola Regional";"KAAF"
"AAG";"Arapoti";"SSYA"
"AAH";"Aachen/Merzbruck";"EDKA"
"AAI";"Arraias";"SWRA"
"AAJ";"Cayana Airstrip";""
"AAK";"Aranuka";"NGUK"
"AAL";"AALBORG";"EKYT"
"AAM";"Mala Mala";"FAMD"
"AAN";"Al Ain";"OMAL"
"AAO";"Anaco";"SVAN"
"AAP";"Andrau Airpark";"KAAP"
"AAQ";"VITYAZEVO";"URKA"
"AAR";"AARHUS AIRPORT";"EKAH"
"AAS";"Apalapsili";""
"AAT";"Altay";"ZWAT"
"AAU";"Asau";""
"AAV";"Allah Valley";"RPMA"
"AAW";"Abbottabad";""
"AAX";"Araxa";"SBAX"
"AAY";"Al Ghaydah";"OYGD"
"AAZ";"Quetzaltenango";"MGQZ"
"ABA";"ABAKAN";"UNAA"
"ABB";"RAF Station";"EGUD"
"ABC";"Los Llanos";"LEAB"
"ABD";"Abadan";"OIAA"
"ABE";"ALLENTOWN BTHLEHM";"KABE"
"ABF";"Abaiang";"NGAB"
"ABG";"Abingdon";""
"ABH";"Alpha";"YAPH"
"ABI";"Municipal";"KABI"
"ABJ";"Port Bouet Airport";"DIAP"
"ABK";"Kabri Dar";"HADK"
"ABL";"Ambler";"PAFM"
"ABM";"Bamaga Injinoo";"YBAM"
"ABN";"Albina";"SMBN"
"ABP";"Atkamba";""
"ABQ";"ALBUQUERQUE INTL";"KABQ"
"ABR";"Municipal";"KABR"
"ABS";"Abu Simbel";"HEBL"
"ABT";"Al-Aqiq";"OEBA"
"ABU";"Atambua";"WATA"
"ABV";"Nnamdi Azikiwe International Airport";"DNAA"
"ABX";"ALBURY AIRPORT";"YMAY"
"ABY";"Dougherty County";"KABY"
"ABZ";"ABERDEEN";"EGPD"
"ACA";"ALVAREZ INTL";"MMAA"
"ACB";"Antrim County";"KACB"
"ACC";"KOTOCA INTL";"DGAA"
"ACD";"Acandi";"SKAD"
"ACE";"LANZAROTE";"GCRR"
"ACF";"Brisbane Archerfield Airport";"YBAF"
"ACH";"SAINT GALLEN-ALTENRHEIN";"LSZR"
"ACI";"The Blaye";"EGJA"
"ACJ";"Anuradhapura";"VCCA"
"ACK";"Nantucket Memorial";"KACK"
"ACL";"Aguaclara";""
"ACM";"Arica";""
"ACN";"International";"MMCC"
"ACP";"Sahand";"OITM"
"ACR";"Araracuara";"SKAC"
"ACS";"Achinsk";"UNKS"
"ACT";"WACO";"KACT"
"ACU";"Achutupo";""
"ACV";"EUREKA";"KACV"
"ACX";"Xingyi";"ZUYI"
"ACY";"Atlantic City International";"KACY"
