	flight_date	flight_number	tail_number	aircraft_type_code	aircraft_model	size_code	origin_airport	scheduled_departure_date	off_block_date	take_off_date	destination_airport	landing_date	on_block_date	scheduled_arrival_date	service_type	aircraft_owner_code	registered_delay_date	delay_minutes	delay_code	delay_sub_code	origin_air_temperature	origin_wind_direction	origin_wind_speed	origin_visibility	origin_wind_gust	origin_cloud_coverage_lvl_1	origin_cloud_coverage_lvl_2	origin_cloud_coverage_lvl_3	origin_cloud_height_lvl_1	origin_cloud_height_lvl_2	origin_cloud_height_lvl_3	origin_ice_accretion_1h	origin_ice_accretion_3h	origin_ice_accretion_6h	origin_peak_wind_gust	origin_peak_wind_direction	destination_air_temperature	destination_wind_direction	destination_wind_speed	destination_visibility	destination_wind_gust	destination_cloud_coverage_lvl_1	destination_cloud_coverage_lvl_2	destination_cloud_coverage_lvl_3	destination_cloud_height_lvl_1	destination_cloud_height_lvl_2	destination_cloud_height_lvl_3	destination_ice_accretion_1h	destination_ice_accretion_3h	destination_ice_accretion_6h	destination_peak_wind_gust	destination_peak_wind_direction
60000	2018-01-13 00:00:00	1934.0	CSDJC	AT7	ATR 72	WI	LIS	2018-01-13 11:00:00	2018-01-13 10:57:00	2018-01-13 11:07:00	OPO	2018-01-13 11:52:00	2018-01-13 11:58:00	2018-01-13 12:00:00	J	WI					12.0	260.0	3.0	6.21		FEW	FEW	M	1400.0	2500.0							11.0	190.0	9.0	6.21		FEW	SCT	M	1500.0	3200.0						
60001	2018-01-13 00:00:00	871.0	CSTTK	319	AIRBUS A319-111	NB	BLQ	2018-01-13 11:05:00	2018-01-13 11:09:00	2018-01-13 11:18:00	LIS	2018-01-13 14:04:00	2018-01-13 14:09:00	2018-01-13 14:00:00	J	TP	2018-01-13 11:28:10	4.0	89.0	0	7.0	280.0	8.0	5.59		BKN	SCT	M	3500.0	8000.0							12.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60002	2018-01-13 00:00:00	1865.0	CSTNW	320	AIRBUS A320-211	NB	LIS	2018-01-13 11:05:00	2018-01-13 11:05:00	2018-01-13 11:13:00	PDL	2018-01-13 13:27:00	2018-01-13 13:29:00	2018-01-13 13:30:00	J	TP					12.0	260.0	3.0	6.21		FEW	FEW	M	1400.0	2500.0							15.0	270.0	9.0	6.21		FEW	M	M	2500.0							
60003	2018-01-13 00:00:00	1099.0	CSDJD	AT7	ATR 72	WI	VLC	2018-01-13 11:10:00	2018-01-13 11:10:00	2018-01-13 11:20:00	LIS	2018-01-13 13:22:00	2018-01-13 13:25:00	2018-01-13 13:20:00	J	WI					11.0	0.0	0.0	6.21		M	M	M									13.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60004	2018-01-13 00:00:00	1101.0	CSDJH	AT7	ATR 72	WI	SVQ	2018-01-13 11:10:00	2018-01-13 11:10:00	2018-01-13 11:18:00	LIS	2018-01-13 12:15:00	2018-01-13 12:22:00	2018-01-13 12:20:00	J	WI					9.0		1.0	3.11		SCT	BKN	OVC	2200.0	3400.0	4600.0						11.0	300.0	10.0	6.21		FEW	FEW	BKN	1600.0	2500.0	3000.0					
60005	2018-01-13 00:00:00	463.0	CSTTX	E95	EMBRAER 195	PGA	BOD	2018-01-13 11:15:00	2018-01-13 11:14:00	2018-01-13 11:25:00	LIS	2018-01-13 13:00:00	2018-01-13 13:04:00	2018-01-13 13:05:00	J	NI					6.0	130.0	8.0	6.21		M	M	M									13.0	280.0	5.0	6.21		FEW	FEW	M	1600.0	2500.0						
60006	2018-01-13 00:00:00	471.0	CSTPW	E90	EMBRAER 190	PGA	LYS	2018-01-13 11:15:00	2018-01-13 13:00:00	2018-01-13 13:11:00	LIS	2018-01-13 15:29:00	2018-01-13 15:32:00	2018-01-13 13:40:00	J	NI	2018-01-13 13:13:33	105.0	93.0	0	10.0	170.0	7.0	6.21		M	M	M									13.0	290.0	8.0	6.21		SCT	M	M	3000.0							
60007	2018-01-13 00:00:00	483.0	CSTPV	E90	EMBRAER 190	PGA	NCE	2018-01-13 11:15:00	2018-01-13 11:15:00	2018-01-13 11:30:00	LIS	2018-01-13 13:54:00	2018-01-13 13:59:00	2018-01-13 13:50:00	J	NI					11.0	330.0	7.0	6.21		FEW	M	M	3000.0								12.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60008	2018-01-13 00:00:00	1025.0	CSTTR	319	AIRBUS A319-111	NB	MAD	2018-01-13 11:15:00	2018-01-13 11:08:00	2018-01-13 11:18:00	LIS	2018-01-13 12:23:00	2018-01-13 12:27:00	2018-01-13 12:35:00	J	TP					4.0	270.0	2.0	6.21		M	M	M									11.0	300.0	10.0	6.21		FEW	FEW	BKN	1600.0	2500.0	3000.0					
60009	2018-01-13 00:00:00	1908.0	CSTQD	320	AIRBUS A320-211	NB	FAO	2018-01-13 11:15:00	2018-01-13 11:13:00	2018-01-13 11:23:00	LIS	2018-01-13 11:51:00	2018-01-13 11:55:00	2018-01-13 12:00:00	J	TP					13.0	290.0	10.0	6.21		FEW	M	M	1200.0								13.0	290.0	5.0	6.21		FEW	SCT	M	1600.0	2500.0						
60010	2018-01-13 00:00:00	201.0	CSTOP	332	AIRBUS A330-200	WB	LIS	2018-01-13 11:20:00	2018-01-13 11:31:00	2018-01-13 11:49:00	EWR	2018-01-13 19:10:00	2018-01-13 19:19:00	2018-01-13 19:30:00	J	TP	2018-01-13 11:53:59	11.0	85.0	0	12.0	280.0	4.0	6.21		FEW	SCT	M	1200.0	2000.0								320.0	17.0	10.0		FEW	SCT	M	3999.0	7999.0						
60011	2018-01-13 00:00:00	803.0	CSTNU	320	AIRBUS A320-211	NB	MXP	2018-01-13 11:20:00	2018-01-13 11:15:00	2018-01-13 11:26:00	LIS	2018-01-13 13:57:00	2018-01-13 14:01:00	2018-01-13 14:05:00	J	TP					9.0	320.0	3.0	6.21		M	M	M									12.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60012	2018-01-13 00:00:00	943.0	CSTNG	320	AIRBUS A320-211	NB	GVA	2018-01-13 11:20:00	2018-01-13 11:25:00	2018-01-13 11:37:00	LIS	2018-01-13 14:02:00	2018-01-13 14:08:00	2018-01-13 13:50:00	J	TP	2018-01-17 08:22:59	5.0	19.0	0	5.0	30.0	5.0	6.21		FEW	SCT	M	1500.0	2500.0							12.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60013	2018-01-13 00:00:00	2615.0	CSTKR	763	BOEING 767-300/300ER		LIS	2018-01-13 11:20:00	2018-01-13 11:31:00	2018-01-13 11:46:00	CCS	2018-01-13 19:44:00	2018-01-13 19:51:00	2018-01-13 19:45:00	J	YU	2018-01-13 11:57:59	2.0	89.0	0	12.0	280.0	4.0	6.21		FEW	SCT	M	1200.0	2000.0							28.0	50.0	1.0	6.21		FEW	M	M	1600.0							
60014	2018-01-13 00:00:00	569.0	CSTTL	319	AIRBUS A319-111	NB	HAM	2018-01-13 11:25:00	2018-01-13 11:37:00	2018-01-13 11:49:00	LIS	2018-01-13 14:59:00	2018-01-13 15:04:00	2018-01-13 14:45:00	J	TP	2018-01-13 11:53:16	12.0	81.0	0	1.0	120.0	10.0	3.11		OVC	M	M	700.0								13.0	290.0	10.0	6.21		FEW	FEW	M	2200.0	2500.0						
60015	2018-01-13 00:00:00	1038.0	CSTTA	319	AIRBUS A319-111	NB	LIS	2018-01-13 11:25:00	2018-01-13 11:38:00	2018-01-13 11:57:00	BCN	2018-01-13 13:21:00	2018-01-13 13:24:00	2018-01-13 13:20:00	J	TP	2018-01-13 11:58:59	13.0	9.0	0	12.0	280.0	4.0	6.21		FEW	SCT	M	1200.0	2000.0							12.0		2.0	6.21		FEW	M	M	3500.0							
60016	2018-01-13 00:00:00	1935.0	CSDJB	AT7	ATR 72	WI	OPO	2018-01-13 11:30:00	2018-01-13 11:56:00	2018-01-13 12:06:00	LIS	2018-01-13 12:52:00	2018-01-13 12:56:00	2018-01-13 12:30:00	J	WI	2018-01-13 12:08:23	26.0	93.0	M	11.0	190.0	9.0	6.21		FEW	SCT	M	1500.0	3200.0							13.0	280.0	5.0	6.21		FEW	FEW	M	1600.0	2500.0						
60017	2018-01-13 00:00:00	437.0	CSTTC	319	AIRBUS A319-111	NB	ORY	2018-01-13 11:35:00	2018-01-13 11:36:00	2018-01-13 11:44:00	LIS	2018-01-13 13:59:00	2018-01-13 14:04:00	2018-01-13 14:00:00	J	TP	2018-01-13 12:02:16	1.0	89.0	0	4.0	100.0	10.0	6.21		BKN	M	M	1100.0								12.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60018	2018-01-13 00:00:00	1035.0	CSTTB	319	AIRBUS A319-111	NB	BCN	2018-01-13 11:35:00	2018-01-13 11:32:00	2018-01-13 11:45:00	LIS	2018-01-13 13:28:00	2018-01-13 13:32:00	2018-01-13 13:30:00	J	TP					9.0	320.0	8.0	6.21		FEW	M	M	3500.0								13.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60019	2018-01-13 00:00:00	557.0	CSTTN	319	AIRBUS A319-111	NB	MUC	2018-01-13 11:45:00	2018-01-13 11:59:00	2018-01-13 12:15:00	LIS	2018-01-13 15:19:00	2018-01-13 15:22:00	2018-01-13 14:55:00	J	TP	2018-01-13 12:15:34	14.0	93.0	C	3.0	90.0	12.0	6.21		BKN	M	M	1200.0								13.0	290.0	8.0	6.21		SCT	M	M	3000.0							
60020	2018-01-13 00:00:00	1451.0	CSTTW	E95	EMBRAER 195	PGA	RAK	2018-01-13 11:45:00	2018-01-13 15:19:00	2018-01-13 15:27:00	LIS	2018-01-13 16:41:00	2018-01-13 16:46:00	2018-01-13 13:25:00	J	NI	2018-01-13 16:47:38	11.0	89.0	0	16.0	280.0	5.0	4.97		SCT	SCT	M	1600.0	2300.0							13.0	300.0	7.0	6.21		FEW	SCT	M	2500.0	3000.0						
60021	2018-01-13 00:00:00	1692.0	CSTTG	319	AIRBUS A319-111	NB	FNC	2018-01-13 11:45:00	2018-01-13 11:50:00	2018-01-13 11:59:00	LIS	2018-01-13 13:14:00	2018-01-13 13:15:00	2018-01-13 13:25:00	J	TP	2018-01-13 12:09:25	5.0	93.0	K	18.0	360.0	13.0	6.21		FEW	SCT	M	1500.0	3000.0							13.0	280.0	5.0	6.21		FEW	FEW	M	1600.0	2500.0						
60022	2018-01-13 00:00:00	413.0	CSTPT	E90	EMBRAER 190	PGA	NTE	2018-01-13 11:50:00	2018-01-13 11:39:00	2018-01-13 11:51:00	LIS	2018-01-13 13:40:00	2018-01-13 13:44:00	2018-01-13 13:50:00	J	NI					6.0	110.0	7.0	6.21		M	M	M									13.0	270.0	8.0	6.21		SCT	M	M	3000.0							
60023	2018-01-13 00:00:00	663.0	CSTJH	321	AIRBUS A321-211	NB	AMS	2018-01-13 11:55:00	2018-01-13 12:08:00	2018-01-13 12:23:00	LIS	2018-01-13 15:03:00	2018-01-13 15:11:00	2018-01-13 14:55:00	J	TP	2018-01-13 12:29:26	8.0	81.0	0	5.0	110.0	6.0	1.12		FEW	BKN	BKN	200.0	300.0	400.0						13.0	290.0	10.0	6.21		FEW	FEW	M	2200.0	2500.0						
60024	2018-01-13 00:00:00	1936.0	CSDJA	AT7	ATR 72	WI	LIS	2018-01-13 12:00:00	2018-01-13 11:59:00	2018-01-13 12:07:00	OPO	2018-01-13 12:53:00	2018-01-13 12:56:00	2018-01-13 13:00:00	J	WI					13.0	290.0	5.0	6.21		FEW	SCT	M	1600.0	2500.0							12.0		3.0	6.21		FEW	SCT	M	1500.0	3200.0						
60025	2018-01-13 00:00:00	617.0	CSTTJ	319	AIRBUS A319-111	NB	BRU	2018-01-13 12:10:00	2018-01-13 12:05:00	2018-01-13 12:13:00	LIS	2018-01-13 14:41:00	2018-01-13 14:45:00	2018-01-13 14:55:00	J	TP					3.0	120.0	4.0	3.73		SCT	BKN	M	400.0	2200.0							13.0	280.0	7.0	6.21		FEW	FEW	M	2200.0	2500.0						
60026	2018-01-13 00:00:00	686.0	CSTTU	319	AIRBUS A319-111	NB	OPO	2018-01-13 12:10:00	2018-01-13 12:10:00	2018-01-13 12:20:00	LUX	2018-01-13 14:24:00	2018-01-13 14:28:00	2018-01-13 14:35:00	J	TP					11.0	190.0	9.0	6.21		FEW	SCT	M	1500.0	3200.0							4.0	100.0	8.0	6.21		BKN	M	M	2100.0							
